word,corpus,freq
7up,fra_jsi_newsfeed_virt,0
Abribus,fra_jsi_newsfeed_virt,7306
Absolut,fra_jsi_newsfeed_virt,9309
Actimel,fra_jsi_newsfeed_virt,228
Activia,fra_jsi_newsfeed_virt,540
Adidas,fra_jsi_newsfeed_virt,28277
Adolfo Domínguez,fra_jsi_newsfeed_virt,9
After Eight,fra_jsi_newsfeed_virt,75
Airbnb,fra_jsi_newsfeed_virt,52059
Airbus,fra_jsi_newsfeed_virt,160552
AirPods,fra_jsi_newsfeed_virt,26493
AirWick,fra_jsi_newsfeed_virt,12
Aixam,fra_jsi_newsfeed_virt,272
Ajax,fra_jsi_newsfeed_virt,57068
Albal,fra_jsi_newsfeed_virt,2542
Alexander McQueen,fra_jsi_newsfeed_virt,2567
Alfa Romeo,fra_jsi_newsfeed_virt,13259
All-Bran,fra_jsi_newsfeed_virt,50
Antikal,fra_jsi_newsfeed_virt,4
Apaysil,fra_jsi_newsfeed_virt,3
Apéricube,fra_jsi_newsfeed_virt,118
Aquafresh,fra_jsi_newsfeed_virt,33
Asics,fra_jsi_newsfeed_virt,3707
Aspirine,fra_jsi_newsfeed_virt,5287
Aston Martin,fra_jsi_newsfeed_virt,17912
Auchan,fra_jsi_newsfeed_virt,42153
Audi,fra_jsi_newsfeed_virt,1730826
BABY born,fra_jsi_newsfeed_virt,26
Babybel,fra_jsi_newsfeed_virt,1048
Bacardí,fra_jsi_newsfeed_virt,96
Badoit,fra_jsi_newsfeed_virt,344
Balenciaga,fra_jsi_newsfeed_virt,5036
Ballantine's,fra_jsi_newsfeed_virt,0
Balmain,fra_jsi_newsfeed_virt,4912
Banania,fra_jsi_newsfeed_virt,749
Barbie,fra_jsi_newsfeed_virt,38321
Bateaux-Mouches,fra_jsi_newsfeed_virt,596
Beautyblender,fra_jsi_newsfeed_virt,62
Bentley,fra_jsi_newsfeed_virt,12905
Betadine,fra_jsi_newsfeed_virt,120
Biafine,fra_jsi_newsfeed_virt,221
Bic,fra_jsi_newsfeed_virt,10738
Bisolvon,fra_jsi_newsfeed_virt,24
Blablacar,fra_jsi_newsfeed_virt,10402
Blanco,fra_jsi_newsfeed_virt,10880
Blédichef,fra_jsi_newsfeed_virt,1
Blédidej,fra_jsi_newsfeed_virt,0
Blédilait,fra_jsi_newsfeed_virt,8
Blédina,fra_jsi_newsfeed_virt,491
Blédine,fra_jsi_newsfeed_virt,24
Blédîner,fra_jsi_newsfeed_virt,0
BMW,fra_jsi_newsfeed_virt,112839
BN,fra_jsi_newsfeed_virt,2442
Ace,fra_jsi_newsfeed_virt,10980
Botox,fra_jsi_newsfeed_virt,4445
Boules Quies,fra_jsi_newsfeed_virt,440
Bounty,fra_jsi_newsfeed_virt,4246
Boursin,fra_jsi_newsfeed_virt,823
Brita,fra_jsi_newsfeed_virt,988564
Brother,fra_jsi_newsfeed_virt,28090
Buckler,fra_jsi_newsfeed_virt,72
Bud,fra_jsi_newsfeed_virt,2884
Bugatti,fra_jsi_newsfeed_virt,14775
Burberry,fra_jsi_newsfeed_virt,7021
Bvlgari,fra_jsi_newsfeed_virt,621
Caddie,fra_jsi_newsfeed_virt,8642
Cadillac,fra_jsi_newsfeed_virt,11274
Cajoline,fra_jsi_newsfeed_virt,42
Calgon,fra_jsi_newsfeed_virt,98
Calvin Klein,fra_jsi_newsfeed_virt,3861
Camel,fra_jsi_newsfeed_virt,12133
Camper,fra_jsi_newsfeed_virt,61163
Campingaz,fra_jsi_newsfeed_virt,89
Canard,fra_jsi_newsfeed_virt,86732
Canson,fra_jsi_newsfeed_virt,1220
Caprice des Dieux,fra_jsi_newsfeed_virt,281
Carambar,fra_jsi_newsfeed_virt,1783
Carioca,fra_jsi_newsfeed_virt,3920
Carolina Herrera,fra_jsi_newsfeed_virt,653
Carrera,fra_jsi_newsfeed_virt,6337
Cartier,fra_jsi_newsfeed_virt,42357
Casio,fra_jsi_newsfeed_virt,2176580
Catisfactions,fra_jsi_newsfeed_virt,1
Cello-tape,fra_jsi_newsfeed_virt,0
Cellophane,fra_jsi_newsfeed_virt,1493
Chamallows,fra_jsi_newsfeed_virt,363
Chanel,fra_jsi_newsfeed_virt,34786
Chevrolet,fra_jsi_newsfeed_virt,15894
Chips ahoy,fra_jsi_newsfeed_virt,11
Chloé,fra_jsi_newsfeed_virt,45076
Chocapic,fra_jsi_newsfeed_virt,306
Christian Louboutin,fra_jsi_newsfeed_virt,1549
Chrysler,fra_jsi_newsfeed_virt,21929
Chupachups,fra_jsi_newsfeed_virt,2
Cillit Bang,fra_jsi_newsfeed_virt,33
Citroën,fra_jsi_newsfeed_virt,67987
Clarisonic,fra_jsi_newsfeed_virt,133
Clearblue,fra_jsi_newsfeed_virt,55
Coca Cola,fra_jsi_newsfeed_virt,2534
Coco Pops,fra_jsi_newsfeed_virt,70
Cocotte-Minute,fra_jsi_newsfeed_virt,2365
Colgate,fra_jsi_newsfeed_virt,1836
Contrex,fra_jsi_newsfeed_virt,1104
Converse,fra_jsi_newsfeed_virt,11174
Corona,fra_jsi_newsfeed_virt,1217168
Coton-tige,fra_jsi_newsfeed_virt,2414
Cracotte,fra_jsi_newsfeed_virt,97
Crayola,fra_jsi_newsfeed_virt,270
Cromalin,fra_jsi_newsfeed_virt,4
Cubitainer,fra_jsi_newsfeed_virt,207
Cutex,fra_jsi_newsfeed_virt,12
Danette,fra_jsi_newsfeed_virt,502
Danonino,fra_jsi_newsfeed_virt,114
Desigual,fra_jsi_newsfeed_virt,1059
Desperados,fra_jsi_newsfeed_virt,911
Dictaphone,fra_jsi_newsfeed_virt,1683
Digicode,fra_jsi_newsfeed_virt,1051
