word,corpus,freq
7 up,fra_jsi_newsfeed_virt,213
Seven Up,fra_jsi_newsfeed_virt,48
Abribus,fra_jsi_newsfeed_virt,7306
Actimel,fra_jsi_newsfeed_virt,228
Activia,fra_jsi_newsfeed_virt,539
Adidas,fra_jsi_newsfeed_virt,9986
Adolfo Domínguez,fra_jsi_newsfeed_virt,9
After Eight,fra_jsi_newsfeed_virt,75
Airbnb,fra_jsi_newsfeed_virt,9983
Airbus,fra_jsi_newsfeed_virt,9998
AirPods,fra_jsi_newsfeed_virt,9997
AirWick,fra_jsi_newsfeed_virt,12
Aixam,fra_jsi_newsfeed_virt,272
Ajax,fra_jsi_newsfeed_virt,10000
Albal,fra_jsi_newsfeed_virt,2541
Alexander McQueen,fra_jsi_newsfeed_virt,2567
Alfa Romeo,fra_jsi_newsfeed_virt,10000
All-Bran,fra_jsi_newsfeed_virt,50
Antikal,fra_jsi_newsfeed_virt,4
Apaysil,fra_jsi_newsfeed_virt,3
Apéricube,fra_jsi_newsfeed_virt,118
Aquafresh,fra_jsi_newsfeed_virt,33
Asics,fra_jsi_newsfeed_virt,3685
Aspirine,fra_jsi_newsfeed_virt,5287
Aston Martin,fra_jsi_newsfeed_virt,10000
Auchan,fra_jsi_newsfeed_virt,9996
Audi,fra_jsi_newsfeed_virt,9997
BABY born,fra_jsi_newsfeed_virt,26
Babybel,fra_jsi_newsfeed_virt,1048
Bacardí,fra_jsi_newsfeed_virt,96
Badoit,fra_jsi_newsfeed_virt,344
Balenciaga,fra_jsi_newsfeed_virt,5034
Balmain,fra_jsi_newsfeed_virt,4912
Banania,fra_jsi_newsfeed_virt,748
Barbie,fra_jsi_newsfeed_virt,9975
Bateaux-Mouches,fra_jsi_newsfeed_virt,596
Beautyblender,fra_jsi_newsfeed_virt,62
Bentley,fra_jsi_newsfeed_virt,9996
Betadine,fra_jsi_newsfeed_virt,120
Biafine,fra_jsi_newsfeed_virt,221
Bic,fra_jsi_newsfeed_virt,10000
Bisolvon,fra_jsi_newsfeed_virt,24
Blablacar,fra_jsi_newsfeed_virt,9998
Blanco,fra_jsi_newsfeed_virt,9998
Blédichef,fra_jsi_newsfeed_virt,1
Blédilait,fra_jsi_newsfeed_virt,8
Blédina,fra_jsi_newsfeed_virt,491
Blédine,fra_jsi_newsfeed_virt,24
BMW,fra_jsi_newsfeed_virt,10000
BN,fra_jsi_newsfeed_virt,2442
Ace,fra_jsi_newsfeed_virt,10000
Botox,fra_jsi_newsfeed_virt,4442
Boules Quies,fra_jsi_newsfeed_virt,440
Bounty,fra_jsi_newsfeed_virt,4244
Boursin,fra_jsi_newsfeed_virt,823
Brita,fra_jsi_newsfeed_virt,9998
Brother,fra_jsi_newsfeed_virt,9986
Buckler,fra_jsi_newsfeed_virt,72
Bud,fra_jsi_newsfeed_virt,2884
Bugatti,fra_jsi_newsfeed_virt,10000
Burberry,fra_jsi_newsfeed_virt,7019
Bvlgari,fra_jsi_newsfeed_virt,620
Caddie,fra_jsi_newsfeed_virt,8642
Cadillac,fra_jsi_newsfeed_virt,9996
Cajoline,fra_jsi_newsfeed_virt,42
Calgon,fra_jsi_newsfeed_virt,98
Calvin Klein,fra_jsi_newsfeed_virt,3861
Camel,fra_jsi_newsfeed_virt,9989
Camper,fra_jsi_newsfeed_virt,10000
Campingaz,fra_jsi_newsfeed_virt,89
Canard,fra_jsi_newsfeed_virt,9987
Canson,fra_jsi_newsfeed_virt,1219
Caprice des Dieux,fra_jsi_newsfeed_virt,281
Carambar,fra_jsi_newsfeed_virt,1783
Carioca,fra_jsi_newsfeed_virt,3919
Carolina Herrera,fra_jsi_newsfeed_virt,653
Carrera,fra_jsi_newsfeed_virt,6337
Cartier,fra_jsi_newsfeed_virt,9983
Casio,fra_jsi_newsfeed_virt,10000
Cellophane,fra_jsi_newsfeed_virt,1493
Chamallows,fra_jsi_newsfeed_virt,363
Chanel,fra_jsi_newsfeed_virt,9998
Chevrolet,fra_jsi_newsfeed_virt,9994
Chips ahoy,fra_jsi_newsfeed_virt,11
Chloé,fra_jsi_newsfeed_virt,10000
Chocapic,fra_jsi_newsfeed_virt,306
Christian Louboutin,fra_jsi_newsfeed_virt,1549
Chrysler,fra_jsi_newsfeed_virt,9998
Chupachups,fra_jsi_newsfeed_virt,2
Cillit Bang,fra_jsi_newsfeed_virt,33
